feature,importance
relative_date_number,20117
g1,8369
x11_mean_by_g1,6974
x2_mean_by_g1,5761
x12_mean_by_g1,5681
x1_mean_by_g1,5409
x4_mean_by_g1,3764
x5_mean_by_g1,3333
x8_mean_by_g1,3162
x3_mean_by_g1,3050
x10_mean_by_g1,2756
x10,2362
x6_mean_by_g1,2356
x9_mean_by_g1,2270
date_norm,2199
x11,1901
g2,1734
x7_mean_by_g1,1625
x5,1398
x4,1351
x8,1344
x6,1308
x2,1272
x9,1188
x1,1187
x7,972
x3,970
index,884
x2_mean_by_g2,684
x10_mean_by_g2,640
x8_mean_by_g2,613
x11_mean_by_g2,576
x4_mean_by_g2,542
x1_mean_by_g2,541
x6_mean_by_g2,516
x5_mean_by_g2,504
x3_mean_by_g2,470
x9_mean_by_g2,436
x7_mean_by_g2,314
x12_mean_by_g2,261
x10_x12,235
x5_log1p,155
x4_x12,140
is_start_period,80
x12,48
is_end_period,27
x11_is_zero,27
x9_is_zero,18
x6_is_zero,14
x7_is_zero,13
x8_is_zero,12
x4_log1p,10
x5_is_zero,9
x10_is_zero,6
x1_is_zero,4
x12_log1p,3
x4_is_zero,2
x12_is_zero,1
x2_is_zero,1
x10_log1p,1
x3_is_zero,0
